ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (m),Width (m),Height (m),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _customize_changeset_uuid
82,simple,,Samsung Galaxy S8,1,0,visible,,"Màn hình: 5.8"", Quad HD+ (2K+),HĐH: Android 7.0 (Nougat),CPU: Exynos 8895 8 nhân 64-bit,RAM: 4 GB, ROM: 64 GB,Camera: 12 MP, Selfie: 8 MP,PIN: 3000 mAh",,,taxable,,1,,0,0,,,,,1,,,15990000₫,Samsung,,,https://cdn4.tgdd.vn/Products/Images/42/78479/samsung-galaxy-s8-4-200x200.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e10
83,simple,,Samsung Galaxy A8+ (2018),1,0,visible,,"Màn hình: 6"", FullHD+,HĐH: Android 7.1,CPU: Exynos 7885 8 nhân,RAM: 6 GB, ROM: 64 GB,Camera: 16MP, Selfie: 16MP + 8MP,PIN: 3500 mAh",,,taxable,,1,,0,0,,,,,1,,,13490000₫,Samsung,,,https://cdn.tgdd.vn/Products/Images/42/142465/samsung-galaxy-a8-plus-2018-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e11
84,simple,,Samsung Galaxy A8 (2018),1,0,visible,,"Màn hình: 5.6"", FullHD+,HĐH: Android 7.1,CPU: Exynos 7885,RAM: 4 GB, ROM: 32 GB,Camera: 16 MP, Selfie: 16 MP và 8 MP,PIN: 3000 mAh",,,taxable,,1,,0,0,,,,,1,,,10990000₫,Samsung,,,https://cdn3.tgdd.vn/Products/Images/42/142463/samsung-galaxy-a8-2018-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e12
85,simple,,Samsung Galaxy C9 Pro,1,0,visible,,"Màn hình: 6"", Full HD,HĐH: Android 6.0 (Marshmallow),CPU: Snapdragon 653 8 nhân,RAM: 6 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 16 MP,PIN: 4000 mAh",,,taxable,,1,,0,0,,,,,1,,,9990000₫,Samsung,,,https://cdn2.tgdd.vn/Products/Images/42/88397/samsung-galaxy-c9-pro2-200x200.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e13
86,simple,,Samsung Galaxy A6+ (2018),1,0,visible,,"Màn hình: 6"", Full HD+,HĐH: Android 8.0 (Oreo),CPU: Qualcomm Snapdragon 450,RAM: 4 GB, ROM: 32 GB,Camera: 16 MP và 5 MP (2 camera), Selfie: 24 MP,PIN: 3500 mAh",,,taxable,,1,,0,0,,,,,1,,,Dự kiến: 8990000₫,Samsung,,,https://cdn3.tgdd.vn/Products/Images/42/160728/samsung-galaxy-a6-plus-2018-xanh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e14
87,simple,,Samsung Galaxy J7+,1,0,visible,,"Màn hình: 5.5"", Full HD,HĐH: Android 7.0,CPU: MediaTek Helio P25 8 nhân,RAM: 4 GB, ROM: 32 GB,Camera: 13 MP và 5 MP (2 camera), Selfie: 16 MP,PIN: 3000 mAh",,,taxable,,1,,0,0,,,,,1,,,7290000₫,Samsung,,,https://cdn.tgdd.vn/Products/Images/42/112970/samsung-galaxy-j7-plus-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e15
88,simple,,Samsung Galaxy A7 (2017),1,0,visible,,"Màn hình: 5.7"", Full HD,HĐH: Android 6.0 (Marshmallow),CPU: Exynos 7880,RAM: 3 GB, ROM: 32 GB,Camera: 16 MP, Selfie: 16 MP,PIN: 3600 mAh, SIM: 2 SIM",,,taxable,,1,,0,0,,,,,1,,,7290000₫,Samsung,,,https://cdn2.tgdd.vn/Products/Images/42/88537/samsung-galaxy-a7-2017-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e16
89,simple,,Samsung Galaxy A6 (2018),1,0,visible,,"Màn hình: 5.6"", HD+,HĐH: Android 8.0 (Oreo),CPU: Exynos 7870 8 nhân 64-bit,RAM: 3 GB, ROM: 32 GB,Camera: 16 MP, Selfie: 16 MP,PIN: 3000 mAh",,,taxable,,1,,0,0,,,,,1,,,6990000₫,Samsung,,,https://cdn1.tgdd.vn/Products/Images/42/157031/samsung-galaxy-a6-2018-2-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e17
90,simple,,Samsung Galaxy J7 Pro,1,0,visible,,"Màn hình: 5.5"", Full HD,HĐH: Android 7.0,CPU: Exynos 7870 8 nhân 64-bit,RAM: 3 GB, ROM: 32 GB,Camera: 13 MP, Selfie: 13 MP,PIN: 3600 mAh",,,taxable,,1,,0,0,,,,,1,,,6090000₫,Samsung,,,https://cdn4.tgdd.vn/Products/Images/42/103404/samsung-galaxy-j7-pro-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e18
91,simple,,Samsung Galaxy J7 Prime,1,0,visible,,"Màn hình: 5.5"", Full HD,HĐH: Android 6.0 (Marshmallow),CPU: Exynos 7870 8 nhân,RAM: 3 GB, ROM: 32 GB,Camera: 13 MP, Selfie: 8 MP,PIN: 3300 mAh, SIM: 2 SIM",,,taxable,,1,,0,0,,,,,1,,,4990000₫,Samsung,,,https://cdn3.tgdd.vn/Products/Images/42/84798/samsung-galaxy-j7-prime-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e19
