ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (m),Width (m),Height (m),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _customize_changeset_uuid
,,,Sony Xperia X,,,,,"Màn hình: 5"", Full HD,HĐH: Android 6.0 (Marshmallow),CPU: Snapdragon 650 6 nhân,RAM: 3 GB, ROM: 64 GB,Camera: 23 MP, Selfie: 13 MP,PIN: 2620 mAh, SIM: 2 SIM",,,,,,,,,,,,,,,,7.490.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/75244/sony-xperia-x-hh-400x400.jpg,,,,,,,,,,
,,,Samsung Galaxy S9+ 128GB,,,,,"Màn hình: 6.2"", Quad HD+ (2K+),HĐH: Android 8.0,CPU: Exynos 9810,RAM: 6 GB, ROM: 128 GB,Camera: 2 camera 12 MP, Selfie: 8 MP,PIN: 3500 mAh, sạc nhanh",,,,,,,,,,,,,,,,24.990.000₫,,,,https://cdn.tgdd.vn/Products/Images/42/154695/samsung-galaxy-s9-plus-128gb-400x400.jpg,,,,,,,,,,
,,,Huawei Y7 Prime,,,,,"Màn hình: 5.5"", HD,HĐH: Android 7.0,CPU: Snapdragon 435 8 nhân,RAM: 3 GB, ROM: 32 GB,Camera: 12 MP, Selfie: 8 MP,PIN: 4000 mAh, SIM: 2 SIM",,,,,,,,,,,,,,,,4.290.000₫,,,,https://cdn3.tgdd.vn/Products/Images/42/105928/huawei-y7-prime-200x200.jpg,,,,,,,,,,
,,,Nokia 6 new,,,,,"Màn hình: 5.5"", Full HD,HĐH: Android 8.0 (Oreo),CPU: Qualcomm Snapdragon 630 8 nhân,RAM: 3 GB, ROM: 32 GB,Camera: 16 MP, Selfie: 8 MP,PIN: 3000 mAh",,,,,,,,,,,,,,,,5.990.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/145789/nokia-6-2018-200x200.jpg,,,,,,,,,,
,,,Nokia 6,,,,,"Màn hình: 5.5"", Full HD,HĐH: Android 7.0,CPU: Qualcomm Snapdragon 430 8 nhân,RAM: 3 GB, ROM: 32 GB,Camera: 16 MP, Selfie: 8 MP,PIN: 3000 mAh",,,,,,,,,,,,,,,,5.590.000₫,,,,https://cdn1.tgdd.vn/Products/Images/42/90836/nokia-6-15-200x200.jpg,,,,,,,,,,
,,,Nokia 5,,,,,"Màn hình: 5.2"", HD,HĐH: Android 7.1,CPU: Qualcomm Snapdragon 430 8 nhân 64 bit,RAM: 2 GB, ROM: 16 GB,Camera: 13 MP, Selfie: 8 MP,PIN: 3000 mAh, SIM: 2 SIM",,,,,,,,,,,,,,,,3.860.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/91849/nokia-5-2-200x200.jpg,,,,,,,,,,
,,,Nokia 3,,,,,"Màn hình: 5"", HD,HĐH: Android 7.0,CPU: MT6737 4 nhân,RAM: 2 GB, ROM: 16 GB,Camera: 8 MP, Selfie: 8 MP,PIN: 2630 mAh, SIM: 2 SIM",,,,,,,,,,,,,,,,2.790.000₫,,,,https://cdn3.tgdd.vn/Products/Images/42/91853/nokia-3-13-400x400.jpg,,,,,,,,,,
,,,Motorola Moto Z2 Play,,,,,"Màn hình: 5.5"", Full HD,HĐH: Android 7.1,CPU: Snapdragon 626 8 nhân 64-bit,RAM: 4 GB, ROM: 64 GB,Camera: 12 MP, Selfie: 5 MP,PIN: 3000 mAh",,,,,,,,,,,,,,,,9.990.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/109414/motorola-moto-z2-play-hh-400x400.jpg,,,,,,,,,,
,,,OPPO F5 6GB,,,,,"Màn hình: 6"", FullHD+,HĐH: ColorOS 3.2 (Android 7.1),CPU: Mediatek Helio P23,RAM: 6 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 20 MP,PIN: 3200 mAh",,,,,,,,,,,,,,,,8.990.000₫,,,,https://cdn1.tgdd.vn/Products/Images/42/142106/oppo-f5-6gb-anhava-1-200x200.jpg,,,,,,,,,,
,,,OPPO F7,,,,,"Màn hình: 6.23"", Full HD+,HĐH: ColorOS 5.0 (Android 8.1),CPU: MediaTek Helio P60,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 25 MP,PIN: 3400 mAh",,,,,,,,,,,,,,,,7.990.000₫,,,,https://cdn1.tgdd.vn/Products/Images/42/155261/oppo-f7-bac-400x400.jpg,,,,,,,,,,
,,,OPPO F7 Black,,,,,"Màn hình: 6.23"", Full HD+,HĐH: ColorOS 5.0 (Android 8.1),CPU: MediaTek Helio P60,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 25 MP,PIN: 3400 mAh",,,,,,,,,,,,,,,,7.990.000₫,,,,https://cdn1.tgdd.vn/Products/Images/42/162886/oppo-f7-black-400x400.jpg,,,,,,,,,,
,,,OPPO F3 Plus,,,,,"Màn hình: 6"", Full HD,HĐH: Android 6.0 (Marshmallow),CPU: Snapdragon 653,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 16 MP và 8 MP,PIN: 4000 mAh",,,,,,,,,,,,,,,,7.490.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/92569/oppo-f3-plus-vang-dong-1-200x200.png,,,,,,,,,,
,,,iPhone 8 Red 64GB (Đỏ),,,,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 2 GB, ROM: 64 GB,Camera: 12 MP, Selfie: 7 MP,PIN: 1821 mAh",,,,,,,,,,,,,,,,,,,,https://cdn.tgdd.vn/Products/Images/42/158730/iphone-8-red-do-2-400x400.jpg,,,,,,,,,,
,,,iPhone 7 Plus 32GB,,,,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A10 4 nhân,RAM: 3 GB, ROM: 32 GB,Camera: kép 12 MP, Selfie: 7 MP,PIN: 2900 mAh",,,,,,,,,,,,,,,,19.990.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/78124/iphone-7-plus-32gb-hh-400x400.jpg,,,,,,,,,,
,,,ASUS Zenfone Max Plus M1 - ZB570TL,,,,,"Màn hình: 5.7"", FullHD+,HĐH: Android 7.0,CPU: MT6750T 8 nhân 64-bit,RAM: 3 GB, ROM: 32 GB,Camera: 16 MP và 8 MP (2 camera), Selfie: 8 MP,PIN: 4130 mAh",,,,,,,,,,,,,,,,5.490.000₫,,,,https://cdn1.tgdd.vn/Products/Images/42/139346/asus-zenfone-max-m1-plus-zb570tl-200x200.jpg,,,,,,,,,,
,,,Vivo V7+,,,,,"Màn hình: 5.99"", HD+,HĐH: Android 7.1,CPU: Qualcomm Snapdragon 450,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP, Selfie: 24 MP,PIN: 3225 mAh",,,,,,,,,,,,,,,,7.990.000₫,,,,https://cdn.tgdd.vn/Products/Images/42/112835/vivo-v7-plus-9-400x400.jpg,,,,,,,,,,
,,,Vivo V7,,,,,"Màn hình: 5.7"", HD+,HĐH: Android 7.1 ,CPU:  Snapdragon 450,RAM: 4 GB, ROM: 32 GB,Camera: 16 MP, Selfie: 24 MP,PIN: 3000 mAh",,,,,,,,,,,,,,,,6.990.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/138399/vivo-v7-hh-400x400.jpg,,,,,,,,,,
,,,HTC U Ultra,,,,,"Màn hình: Chính: 5.7"", phụ: 2.05"", Quad HD,HĐH: Android 7.0,CPU: Qualcomm Snapdragon 821 4 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 12 MP, Selfie: 16 MP,PIN: 3000 mAh, SIM: 2 SIM",,,,,,,,,,,,,,,,9.890.000₫,,,,https://cdn2.tgdd.vn/Products/Images/42/90772/htc-u-ultra-1-200x200.jpg,,,,,,,,,,
,,,HTC 10 evo,,,,,"Màn hình: 5.5"", QHD,HĐH: Android 7.0,CPU: Snapdragon 810 8 nhân,RAM: 3 GB, ROM: 32GB,Camera: 16 MP, Selfie: 8 MP,PIN: 3200mAh, SIM: 1 SIM",,,,,,,,,,,,,,,,4.490.000₫,,,,https://cdn2.tgdd.vn/Products/Images/42/88632/htc-10-evo-300-200x200.jpg,,,,,,,,,,
